,Parameter:,Unit:,Year:,Source:,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Cote Dlvoire,Djibouti,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mali,Mauritania,Mauritius,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe ,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Swaziland,Tanzania,Togo,Uganda,Zambia,Zimbabwe,China,USA,Sri Lanka,India,Bangladesh
,energy export ratio,%,2015,IEA Statistics,-598.5753461,-1.756311745,-5.156537753,NaN,NaN,NaN,-68.84783167,NaN,NaN,NaN,-3.78024717,-479.3674699,-22.93592113,NaN,NaN,0,-0.028005601,-219.534792,NaN,-56.51815182,NaN,NaN,-0.051792829,NaN,NaN,NaN,NaN,NaN,NaN,0,-58.82625483,-6.30005339,-8.738191633,-91.22713869,NaN,NaN,-4.719980435,NaN,NaN,NaN,-39.35547013,-1345.780969,-8.851308232,NaN,0,0,NaN,-1.161769013,NaN,,,,,
,import export difference,Mtoe,2015,IEA Statistics,-84.082,1.873,1.301,NaN,NaN,NaN,-2.729,NaN,NaN,NaN,-0.057,-12.378,0.46,NaN,NaN,0.198,3.712,-10.583,NaN,-0.485,NaN,NaN,5.36,NaN,NaN,NaN,NaN,NaN,NaN,1.817,-5.485,1.448,-0.009,-116.715,NaN,NaN,2.51,NaN,NaN,NaN,-20.804,-7.139,0.206,NaN,3.315,0.749,NaN,1.077,NaN,,,,,
,marine bunkers,Mtoe,2015,IEA Statistics,-0.395,0,0,NaN,NaN,NaN,-0.057,NaN,NaN,NaN,0,0,-0.074,NaN,NaN,0,0,-0.182,NaN,0,NaN,NaN,-0.04,NaN,NaN,NaN,NaN,NaN,NaN,-0.28,0,0,0,-0.369,NaN,NaN,-0.078,NaN,NaN,NaN,-3.686,0,-0.022,NaN,-0.062,-0.019,NaN,0,NaN,,,,,
,aviation bunkers,Mtoe,2015,IEA Statistics,-0.227,0,-0.014,NaN,NaN,NaN,-0.089,NaN,NaN,NaN,-0.13,-0.045,-0.133,NaN,NaN,-0.001,-0.438,-0.068,NaN,-0.128,NaN,NaN,-0.676,NaN,NaN,NaN,NaN,NaN,NaN,-0.274,-0.036,-0.052,-0.044,-0.361,NaN,NaN,-0.292,NaN,NaN,NaN,-0.911,-0.027,-0.266,NaN,-0.158,-0.087,NaN,-0.039,NaN,,,,,
,stock changes,Mtoe,2015,IEA Statistics,-0.034,-0.033,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,0.155,NaN,NaN,0,0.006,0,NaN,0.062,NaN,NaN,0.067,NaN,NaN,NaN,NaN,NaN,NaN,-0.067,-0.655,0.002,-0.006,2.561,NaN,NaN,0.016,NaN,NaN,NaN,0.018,0,0,NaN,0,0.082,NaN,0,NaN,,,,,
,Total Primary Energy Supply (TPES),Mtoe,2015,IEA Statistics,14.951,4.555,2.715,NaN,NaN,NaN,7.794,NaN,NaN,NaN,28.887,2.656,12.984,NaN,NaN,0.85,49.99,5.073,NaN,9.696,NaN,NaN,25.1,NaN,NaN,NaN,NaN,NaN,NaN,1.451,12.95,1.873,2.964,139.373,NaN,NaN,4.089,NaN,NaN,NaN,142.026,0.557,15.67,NaN,25.968,3.431,NaN,10.243,NaN,,,,,
,Coal production,Mtoe,2015,IEA Statistics,0,0,1.175,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,0,NaN,NaN,0,0,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,4.307,0,0.064,0.029,NaN,NaN,0,NaN,NaN,NaN,146.246,0,0,NaN,0.158,0,NaN,0.094,NaN,,,,,
,Crude oil production,Mtoe,2015,IEA Statistics,91.325,0,0,NaN,NaN,NaN,4.919,NaN,NaN,NaN,1.055,13.277,1.378,NaN,NaN,0,0,11.71,NaN,5.659,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0.746,106.493,NaN,NaN,0,NaN,NaN,NaN,0.308,7.521,5.345,NaN,0,0,NaN,0,NaN,,,,,
,Oil products production,Mtoe,2015,IEA Statistics,0,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,0,NaN,NaN,0,0,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,NaN,NaN,0,NaN,NaN,NaN,0,0,0,NaN,0,0,NaN,0,NaN,,,,,
,Natural gas production,Mtoe,2015,IEA Statistics,0.629,0,0,NaN,NaN,NaN,0.295,NaN,NaN,NaN,0,0.202,1.686,NaN,NaN,0,0,0.307,NaN,0.468,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,4.09,0,0,35.676,NaN,NaN,0.041,NaN,NaN,NaN,1.025,0,0,NaN,0.731,0,NaN,0,NaN,,,,,
,Nuclear production,Mtoe,2015,IEA Statistics,0,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,0,NaN,NaN,0,0,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,NaN,NaN,0,NaN,NaN,NaN,3.189,0,0,NaN,0,0,NaN,0,NaN,,,,,
,Hydro production,Mtoe,2015,IEA Statistics,0.447,0.001,0,NaN,NaN,NaN,0.436,NaN,NaN,NaN,0.767,0.08,0.116,NaN,NaN,0,0.832,0.079,NaN,0.503,NaN,NaN,0.326,NaN,NaN,NaN,NaN,NaN,NaN,0.01,1.48,0.129,0,0.492,NaN,NaN,0.029,NaN,NaN,NaN,0.069,0,0.724,NaN,0.081,0.005,NaN,1.121,NaN,,,,,
,Geothermo solar etc production,Mtoe,2015,IEA Statistics,0,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,0,NaN,NaN,0,0.065,0,NaN,0,NaN,NaN,3.855,NaN,NaN,NaN,NaN,NaN,NaN,0.002,0,0.002,0,0,NaN,NaN,0,NaN,NaN,NaN,0.496,0,0,NaN,0.002,0,NaN,0,NaN,,,,,
,Biofuel waste production,Mtoe,2015,IEA Statistics,7.289,2.713,0.553,NaN,NaN,NaN,5.02,NaN,NaN,NaN,27.252,1.521,9.395,NaN,NaN,0.654,45.813,3.811,NaN,3.617,NaN,NaN,16.208,NaN,NaN,NaN,NaN,NaN,NaN,0.242,9.249,0.344,2.213,111.566,NaN,NaN,1.842,NaN,NaN,NaN,16.078,0.201,9.683,NaN,21.801,2.702,NaN,7.991,NaN,,,,,
,Electricity consumption,Mtoe,2015,IEA Statistics,0.724,0.095,0.301,NaN,NaN,NaN,0.497,NaN,NaN,NaN,0.625,0.068,0.517,NaN,NaN,0.029,0.715,0.159,NaN,0.744,NaN,NaN,0.682,NaN,NaN,NaN,NaN,NaN,NaN,0.239,1.157,0.325,0.084,2.158,NaN,NaN,0.29,NaN,NaN,NaN,17.068,0.025,0.91,NaN,0.452,0.104,NaN,0.985,NaN,,,,,
,Electricity consumption per capita,kwh per capita,2014,World Bank,312.47602,100.22639,1748.61533,NA,NA,NA,280.66668,NaN,NaN,NaN,108.58233,197.28599,276.14857,NA,NA,NA,69.71577,1172.88732,NA,354.71405,NaN,NaN,166.73819,NA,NA,NA,NA,NA,NA,2182.50916,462.62029,1584.56882,51.44082,144.47992,NA,NA,223.49616,NA,NA,NA,4228.86073,39.89256,190.22089,NA,99.16747,152.72001,NA,707.19022,536.99549,,,,,
,Per-capita public services electricity consumption,Fraction,2010,World Energy Council_EDI Database,NaN,NaN,NaN,NA,NA,NA,0.03,NaN,NaN,NaN,NaN,NaN,0.07,NaN,0.0017,NaN,NaN,0.13,0.859036145,NaN,NaN,NaN,0.02,NaN,NaN,0.02,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,,,,,
,share of economic energy uses in total final consumption,Fraction,2010,World Energy Council_EDI Database,NaN,NaN,NaN,NA,NA,NA,0.33,NaN,NaN,NaN,NaN,NaN,0.32,NaN,NaN,NaN,NaN,0.51,0.141365462,NaN,NaN,NaN,0.26,NaN,NaN,0.4,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.19,NaN,NaN,,,,,
,Energy supply per capita,Gigajoules,2013,UN Country Profile,27,16,39,10,6,15,14,5,6,7,25,23,25,13,91,7,15,60,7,12,12,17,20,23,19,7,6,4,13,46,18,27,5,32,9,14,11,94,11,12,119,2,16,39,20,19,12,26,32,,,,,
,Industrial sector ,% of GDP,2016,World Energy Council,NaN,23.2,39.2,NaN,NaN,NaN,30.1,NaN,15.1,NaN,33.2,NaN,21.1,22.7,NaN,NaN,14.7,57.5,15.6,27.7,NaN,NaN,19.4,34.5,NaN,15.9,17,NaN,35.6,23.2,21.1,31.8,19.5,24.2,NaN,NaN,23.5,NaN,NaN,NaN,29.5,59,NaN,44.1,25,NaN,25.1,NaN,29.4,,,,,
,Energy Intensity ,koe per US$,2016,World Energy Council,0.08,0.23,0.07,NaN,NaN,NaN,0.11,NaN,0.04,0.000126015,0.43,NaN,0.12,0.49,2204,NaN,0.32,0.07,4.64E-08,0.07,NaN,NaN,0.12,NaN,NaN,0.06,0.09,NaN,0.07,0.04,0.37,0.08,0.17,0.08,NaN,NaN,0.1,NaN,NaN,NaN,0.12,NaN,NaN,0.13,0.16,NaN,0.0264,0.15,0.45,,,,,
,Diversity of international energy suppliers,HHI,2016,World Energy Council,Medium (2789),Low (5398),Low (8732),NaN,NaN,NaN,Low,NaN,Low (7910),Medium,Medium (2174),NaN,Low (6872),NaN,NaN,NaN,Low (3971),Medium,0.999999798,Low (3991),NaN,NaN,2994,NaN,NaN,Medium (2471),Low (3009),NaN,Medium (2396),Low (6020),Medium (2846),Medium (2522),Medium (2031),High (1190),NaN,NaN,1618,NaN,NaN,NaN,Medium (1508),NaN,NaN,Low (9609),Low (3722),NaN,NaN,Low (3499),Medium (1804),,,,,
,Population with access to electricity,%,2016,World Energy Council,35,28,43,NaN,NaN,NaN,54,NaN,4,69.3,15,NaN,59,53.3,66,NaN,23,82,30.96,61,NaN,NaN,19,20.6,NaN,14,9,NaN,18,100,15,44,9,48,NaN,NaN,57,NaN,14.2,NaN,83,5.1,NaN,35,15,NaN,18.163,19,37,,,,,
,Access to clean cooking in urban areas,%,2016,World Energy Council,84,14,90,NaN,NaN,NaN,41,NaN,27,NaN,14,NaN,35,NaN,NaN,NaN,27,86,12,28,NaN,NaN,61,NaN,NaN,5,11,NaN,66,95,10,83,6,54,NaN,NaN,86,NaN,NaN,NaN,94,NaN,NaN,87,16,NaN,NaN,39,84,,,,,
,Access to clean cooking in rural areas,%,2016,World Energy Council,11,5,38,NaN,NaN,NaN,5,NaN,6,NaN,5,NaN,5,NaN,NaN,NaN,5,25,5,5,NaN,NaN,5,NaN,NaN,5,5,NaN,21,95,5,14,5,10,NaN,NaN,17,NaN,NaN,NaN,63,NaN,NaN,25,5,NaN,NaN,5,6,,,,,
,Household electricity prices,US$/kWh,2016,World Energy Council,NaN,NaN,0.06,NaN,NaN,NaN,NaN,NaN,NaN,0.36,NaN,NaN,NaN,0.32,NaN,NaN,0.03,NaN,0.640040963,NaN,NaN,NaN,0.11,0.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.09,0.39,NaN,NaN,NaN,NaN,0.15,NaN,NaN,,,,,
,Rate of transmission and distribution losses,%,2016,World Energy Council,11.6,19.8,6.9,NaN,NaN,NaN,14.4,NaN,12.2,48,NaN,NaN,20.7,NaN,NaN,NaN,21.4,20.4,8.333333333,23.6,NaN,NaN,15.6,14,NaN,20.7,22.7,NaN,11.4,6.2,19,12.6,15,15.8,NaN,NaN,15.6,NaN,NaN,NaN,9.2,NaN,NaN,13,20.2,NaN,NaN,16.9,24.4,,,,,
,CO2 intensity ,tCO2,2016,World Energy Council,0.13,0.36,0.26,NaN,NaN,NaN,0.11,NaN,0.02,0.353,0.12,NaN,0.14,3.23,4.5,NaN,0.08,0.11,491,0.16,NaN,NaN,0.1,77.59,NaN,0.09,0.1,NaN,0.23,0.2,0.13,0.18,0.13,0.04,NaN,NaN,0.24,NaN,NaN,NaN,0.72,0.126,NaN,0.14,0.08,NaN,NaN,0.07,0.58,,,,,
,GHG emission growth rate,%,2016,World Energy Council,9.9,9.6,1.2,NaN,NaN,NaN,1,NaN,NaN,0.7,3.1,NaN,3.4,NaN,NaN,NaN,4.2,0.7,7.916666667,7.4,NaN,NaN,2.4,26.6,NaN,0,NaN,NaN,NaN,4,5.4,4.5,NaN,2,NaN,NaN,4,NaN,NaN,NaN,2.1,NaN,NaN,NaN,5.9,NaN,NaN,4,-2.3,,,,,
Fossil fuel reserves,Fossil fuel reserves Total,Mtoe,2016,World Energy Council,1973.49,1.94,0,NaN,NaN,NaN,146.57,NaN,215.8,0,24,330,14,0,20.285,NaN,21.84,297.86,0,109.46,NaN,NaN,0,0,NaN,0,0,NaN,27.26,0,2429,53.4,20,9383.56,NaN,NaN,0,NaN,0,NaN,21039.4,0.059,202,NaN,0,0,NaN,0,350.2,,,,,
Congo 2016; Togo 2012 REEEP.,Fossil fuel reserves Natural Gas share,%,2016,World Energy Council,13.38,48.6,0,NaN,NaN,NaN,87.72,NaN,0,0,0,31.5,0,0,37,NaN,97.72,8.14,0,17.78,NaN,NaN,0,0,NaN,NaN,0,NaN,88.98,NaN,99.92,0,0,46.69,NaN,NaN,0,NaN,0,NaN,0,0,0,NaN,0,0,NaN,0,0,,,,,
,Fossil fuel reserves Oil share,%,2016,World Energy Council,86.62,51.55,0,NaN,NaN,NaN,12.28,NaN,100,0,100,68.5,100,0,63,NaN,2.29,91.86,0,82.22,NaN,NaN,0,0,NaN,NaN,0,NaN,11.01,NaN,0,0,100,53.31,NaN,NaN,0,NaN,0,NaN,0,100,100,NaN,0,0,NaN,0,0,,,,,
Diversity of total primary energy supply,Diversity of total primary energy supply Other Renewables,%,2016,World Energy Council,56.3,56.16,22.9,NaN,NaN,NaN,65.04,NaN,100,0,92.2,NaN,73.34,NaN,0,NaN,92.88,53.32,0,39.48,NaN,NaN,80.28,0,NaN,NaN,0,NaN,NaN,15.63,79.31,15.44,74.59,81.49,NaN,NaN,46.88,NaN,0,NaN,10.86,3,NaN,NaN,85.01,NaN,NaN,76.23,62.3,,,,,
,Diversity of total primary energy supply Hydro,%,2016,World Energy Council,2.38,0,0,NaN,NaN,NaN,5.68,NaN,0,4.5,3.48,NaN,1.13,NaN,0,NaN,1.49,3.27,0,7.87,NaN,NaN,1.58,NaN,NaN,NaN,0,NaN,NaN,0.59,11.54,7.29,0,0,NaN,NaN,0.72,NaN,0,NaN,0.07,66.3,NaN,NaN,0.63,NaN,NaN,11.76,3.83,,,,,
,Diversity of total primary energy supply Natural Gas,%,2016,World Energy Council,2.17,0,0,NaN,NaN,NaN,5.21,NaN,0,0,0,NaN,12.17,NaN,37,NaN,0,14.37,0,2.92,NaN,NaN,0,0.04,NaN,NaN,0,NaN,NaN,0,1.28,0,0,8.83,NaN,NaN,0.88,NaN,0,NaN,2.89,0,NaN,NaN,3.46,NaN,NaN,0,0,,,,,
,Diversity of total primary energy supply Oil,%,2016,World Energy Council,39.15,43.84,48.83,NaN,NaN,NaN,24.07,NaN,0,95.5,4.29,NaN,13.36,NaN,63,NaN,5.26,29.04,100,49.73,NaN,NaN,17.16,17.12,NaN,NaN,0,NaN,NaN,51.98,7.78,76.32,22.98,9.31,NaN,NaN,45.66,NaN,8,NaN,16.22,30.7,NaN,NaN,10.68,NaN,NaN,9.58,12.59,,,,,
,Diversity of total primary energy supply Coal,%,2016,World Energy Council,0,0,28.26,NaN,NaN,NaN,0,NaN,0,0,0,NaN,0,NaN,0,NaN,0.37,0,0,0,NaN,NaN,0.97,34.09499446,NaN,NaN,0,NaN,NaN,31.8,0,0.94,2.43,0,NaN,NaN,5.86,NaN,0,NaN,67.37,0,NaN,NaN,0.22,NaN,NaN,2.42,21.28,,,,,
Diversity of electricity generation,Diversity of electricity generation Other Renewables,%,2016,World Energy Council,0,0.67,0,NaN,NaN,NaN,73.07,NaN,0,0,0,NaN,0.99,1.1,0,NaN,0.68,0,0,0,NaN,NaN,23.78,0,NaN,NaN,0,NaN,0,18.98,0,0,0,0,NaN,NaN,1.56,NaN,4.5,NaN,0,NaN,NaN,0,0,NaN,NaN,0,0.81,,,,,
,Diversity of electricity generation Hydro,%,2016,World Energy Council,72.03,0.67,0,NaN,NaN,NaN,25.97,NaN,0,4.5,99.52,NaN,26.47,0,77.4,NaN,98.78,42.61,0,68.23,NaN,NaN,52.41,100,NaN,66.09,87.16,NaN,12.98,2.74,99.89,88.39,0,20.54,NaN,NaN,9.11,NaN,45.5,NaN,0,NaN,NaN,29.76,29.66,NaN,87,99.71,68.9,,,,,
,Diversity of electricity generation Thermo,%,2016,World Energy Council,28.06,101.33,102.7,NaN,NaN,NaN,1.04,NaN,102.5,95.5,0,NaN,72.51,98.9,22.6,NaN,0.57,57.01,100,31.73,NaN,NaN,23.84,0,NaN,33.91,12.84,NaN,86.54,78.38,0,11.39,101.43,79.44,NaN,NaN,89.27,NaN,50,NaN,94.23,NaN,NaN,71.43,69.8,NaN,10,0.29,30.23,,,,,
Energy Index,NEID,,,,NaN,NaN,NaN,NaN,NaN,NaN,0.4,NaN,NaN,23,NaN,NaN,60.5,30.2,NaN,NaN,NaN,58.5,6,NaN,NaN,NaN,45.7,28.6,NaN,35.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.1,NaN,0,NaN,NaN,39.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
,Shannon-Weiner Index (H),,,,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0.8,NaN,NaN,0.8,0.7,NaN,NaN,NaN,0.9,0,NaN,NaN,NaN,1,1.2,NaN,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3,NaN,4.5,NaN,NaN,0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
,Herindhal-Hirschman Index (HHI),,,,NaN,NaN,NaN,NaN,NaN,NaN,0.5,NaN,NaN,0.5,NaN,NaN,0.6,0.6,4.9,NaN,NaN,0.6,1,NaN,NaN,NaN,0.5,0.3,NaN,0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3,NaN,13,NaN,NaN,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,% of total country area cultivated (%),%,2016,FAO,4.163,27.88,0.6893,22.24,55.7,14.64,16.3,3.018,3.843,63.41,3.412,1.833,22.95,0.0862,6.417,5.884,14.72,1.849,39.38,31.02,15.46,15.22,10.91,9.134,6.285,7.015,33.25,5.29,0.4473,38.73,7.443,0.9815,12.63,43.84,53.15,49.69,16.61,3.217,24.19,1.764,10.59,,10.64,10.94,16.52,49.66,37.67,5.097,10.49,,,,,
,Country Land Area,1000 ha,2014,FAO,124670,11476,58173,27422,2783,403,47544,62298,128400,186.1,234486,34200,32246,2320,2805,11760,110430,26767,1130,23854,24586,3613,58037,3036,11137,58730,11848,124019,103070,204,79938,82429,126700,92377,2634,96,19671.2,46,7230,63766,121909,64433,187936,1736,94730,5679,24155,75261,39076,,,,,
,Agricultural area,1000 ha,2015,FAO,59190,3750,26001,12100,2032,79,9750,5080,49935,133,26200,10627,20600,1702,284,7592,36259,5160,605,15700,14500,1630,27630,2277.3,2700,41415,5790,41201,39711,85,49950,38809,45682,70800,1811.7,48.7,8868,1.55,3949,44125,96841,28533.2,68186.16,1222,39650,3820,14415,23836,16200,,,,,
,% of Agricultural area,1000 ha,2015,FAO,47,33,45,44,73,20,21,8,39,71,11,31,64,73,10,65,33,19,54,66,59,45,48,75,24,71,49,33,39,42,62,47,36,77,69,51,45,3,55,69,79,44,36,70,42,67,60,32,41,,,,,
,Arable land,1000 ha,2015,FAO,4900,2700,399,6000,1200,50,6200,1800,4900,65,7100,550,2900,2,120,690,15119,325,440,4700,3100,300,5800,272.3,500,3500,3800,6411,450,74,5650,800,16800,34000,1151.7,8.7,3200,0.15,1584,1100,12500,NA,19823.16,175,13500,2650,6900,3800,4000,,,,,
,% of Arable land,1000 ha,2015,FAO,4,24,1,22,43,12,13,3,4,35,3,2,9,0,4,6,14,1,39,20,13,8,10,9,4,6,32,5,0,36,7,1,13,37,44,9,16,0,22,2,10,NA,11,10,14,47,29,5,10,,,,,
,Permanent crops,1000 ha,2015,FAO,290,500,2,100,350,4,1550,80,35,53,900,77,4500,NA,60,2,1140,170,5,2700,700,250,530,5,200,620,140,150,11,4,300,9,100,6500,250,39,68,1.4,165,25,413,NA,168,15,2150,170,2200,36,100,,,,,
,% of Permanent crops,1000 ha,2015,FAO,0.2,4.4,0,0.4,12.6,1,3.3,0.1,0,28.5,0.4,0.2,14,#VALUE!,2.1,0,1,0.6,0.4,11.3,2.8,6.9,0.9,0.2,1.8,1.1,1.2,0.1,0,2,0.4,0,0.1,7,9.5,40.6,0.3,3,2.3,0,0.3,NA,0.1,0.9,2.3,3,9.1,0,0.3,,,,,
,Permanent meadows and pastures,1000 ha,2015,FAO,54000,550,25600,6000,482,25,2000,3200,45000,15,18200,10000,13200,1700,104,6900,20000,4665,160,8300,10700,1080,21300,2000,2000,37295,1850,34640,39250,7,44000,38000,28782,30300,410,1,5600,NA,2200,43000,83928,25773.2,48195,1032,24000,1000,5315,20000,12100,,,,,
,% of Permanent meadows and pastures,1000 ha,2015,FAO,43,5,44,22,17,6,4,5,35,8,8,29,41,73,4,59,18,17,14,35,44,30,37,66,18,64,16,28,38,3,55,46,23,33,16,1,28,NA,30,67,69,40,26,59,25,18,22,27,31,,,,,
,Forests,1000 ha,2014,FAO,NaN,NaN,NaN,NaN,NaN,NaN,19036,NaN,NaN,NaN,NaN,NaN,10401.4,5.6,1579.6,NaN,NaN,22800,486.4,NaN,NaN,NaN,4376.4,48,NaN,12489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8313,NaN,2980.4,NaN,NaN,7.15,NaN,NaN,NaN,NaN,2212.2,NaN,NaN,,,,,
,Average dietary energy supply adequacy,"%, 3-yr avg",2013-2015,FAO,120,123,99,128,NA,111,121,80,102,106,NA,100,NA,118,NA,NA,99,126,118,132,117,100,104,111,96,90,105,147,133,127,109,96,123,121,96,110,112,100,105,88,123,NA,105,104,107,120,96,92,89,,,,,
,Average value of food production,I$ per person constant 2004-06,2011-2013,FAO,158,207,125,135,109,81,232,198,146,87,54,90,NA,84,54,48,111,138,60,285,173,183,158,57,75,146,169,207,136,190,85,170,167,204,230,157,93,53,185,172,239,144,147,250,185,118,131,113,84,,,,,
,"Share of dietary energy supply derived from cereals, roots, and tubers","%, 3-yr avg",2009-2011,FAO,58,71,48,65,NA,48,54,56,69,NA,NA,59,NA,56,NA,NA,76,51,62,63,62,63,57,79,66,79,71,67,51,46,72,55,61,66,49,41,61,NA,63,NA,52,NA,39,58,56,71,44,71,57,,,,,
,Average protein supply,"g/capita/day, 3-yr avg",2009-2011,FAO,52,49,64,61,NA,69,56,62,47,NA,NA,46,NA,59,NA,NA,26,58,72,46,61,63,47,32,60,24,39,62,78,92,41,49,55,57,26,76,72,NA,57,NA,83,NA,69,44,46,49,47,41,58,,,,,
,Average supply of protein of animal origin,"g/capita/day, 3-yr avg",2009-2011,FAO,18,14,26,12,NA,27,11,19,9,NA,NA,22,NA,14,NA,NA,7,42,14,17,9,8,16,12,8,10,7,23,32,39,6,21,14,10,6,16,15,NA,14,NA,35,NA,29,15,10,9,12,9,12,,,,,
,Percent of paved roads over total roads,%,2007,FAO,NaN,NaN,NaN,NaN,NaN,NaN,10.1,NaN,NaN,NaN,NaN,NaN,7.9,45,NaN,NaN,NaN,12,19.3,NaN,NaN,NaN,7,18,NaN,16.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.3,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23,NaN,NaN,,,,,
,Rail lines density,per 100 sq km of land area,2014,FAO,NaN,0.7,0.2,0.2,NaN,NaN,0.2,NaN,NaN,NaN,0.2,0.2,0.2,3.5,NaN,NaN,NaN,0.3,NaN,0.4,NaN,NaN,0.3,NaN,NaN,0.1,0.7,0.1,0.1,,0.4,,NaN,0.4,NaN,NaN,0.5,NaN,NaN,NaN,1.7,NaN,0.2,1.7,0.5,NaN,0.1,0.2,0.7,,,,,
,Road density,per 100 sq km of land area,2007,FAO,NaN,NaN,NaN,NaN,NaN,NaN,10.5,NaN,NaN,NaN,NaN,NaN,25.4,13.2,10.3,NaN,NaN,3.4,33.1,NaN,NaN,NaN,27.7,19.6,NaN,6.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.6,NaN,15.6,NaN,NaN,15,NaN,NaN,NaN,NaN,29.3,NaN,NaN,,,,,
,Domestic food price level index,-,2014,FAO,,,,,,,7.81,NaN,NaN,NaN,NaN,NaN,6.72,NaN,NaN,NaN,NaN,5.22,7.25,NaN,NaN,NaN,5.84,4.43,NaN,7.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.37,NaN,6.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.2,NaN,NaN,,,,,
,Percent of household income spent on food,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
,minimum dietary requirement,kcal/capita/day,2014-2016,FAO,,,,,,,1783,NaN,NaN,NaN,NaN,NaN,1703,1852,NaN,NaN,NaN,1790,1764,NaN,NaN,NaN,1737,1763,NaN,1703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1918,NaN,NaN,NaN,NaN,1717,NaN,NaN,NaN,NaN,1691,NaN,NaN,,,,,
,Prevalence of undernourishment,"%, 3-yr avg",2015,FAO,14,10.3,26,20.2,NA,13.7,7.9,58.6,32.5,NA,NA,28.2,NA,12.8,NA,NA,28.8,7,10.9,7.6,17.5,28.3,19.1,14.5,42.8,42.3,25.9,4,5.3,5.2,26.6,28.8,11.3,7.9,41.1,13.5,11.3,NA,30.9,NA,4.6,NA,25.6,19.6,32.3,11.5,39,45.9,44.7,,,,,
,Share of food expenditure of the poor,%,2005,FAO,,,,,,,NaN,,,,,,45,NaN,NaN,,,47,NaN,,,,76,NaN,,NaN,,,,,,,,,,,NaN,,NaN,,,79,NaN,NaN,NaN,NaN,56,NaN,NaN,,,,,
,Depth of the food deficit,"kcal/capita/day, 3yr avg",2016,FAO,89,67,192,159,NA,100,50,490,246,NA,NA,189,NA,96,NA,NA,201,47,69,50,122,204,120,101,366,306,179,24,35,38,192,207,67,48,321,84,71,NA,228,NA,32,NA,184,136,237,77,284,378,356,,,,,
